Word,Count,Senses,Definition,Example
uncannily,9,,in an uncanny manner,uncannily human robots
unceremoniously,15,,in an unceremonious manner,he was dismissed unceremoniously
uncertainly,11,,showing lack of certainty,he paused uncertainly
uncharacteristically,20,,in uncharacteristic manner,he was uncharacteristically cool
unchivalrously,14,,in an unchivalrous and ungallant manner,"unchivalrously, the husbands who had to provide such innocent indulgences eventually began to count the costs"
uncivilly,9,,in an uncivil manner,he treats his former wife uncivilly
uncomfortably,13,,in physical discomfort,"she lay on the couch, her body uncomfortably twisted"
uncommonly,10,,exceptionally,a common remedy is uncommonly difficult to find
uncomplainingly,15,,without complaining,an equally gallant little wife and mother uncomplainingly keeping up the production of tasty and nourishing meals
unconcernedly,13,,in an unconcerned manner,"war was breaking out in Europe, but she unconcernedly planned for a holiday"
unconditionally,15,,not subject to a condition,he accepted the offer unconditionally
unconsciously,13,,without awareness,she jumped up unconsciously when he entered the room
unconstitutionally,18,,in an unconstitutional manner,the president acted unconstitutionally
uncontrollably,14,,in an uncontrolled manner,she laughed uncontrollably
unconventionally,16,,in an unconventional manner,she always behaves rather unconventionally
unconvincingly,14,,in an unconvincing manner,he argued unconvincingly
uncouthly,9,,in an uncouth manner,"uncouthly, he told stories that made everybody at the table wince"
uncritically,12,,in an uncritical manner,he accepted her decisions uncritically
undemocratically,16,,in an undemocratic manner,"undemocratically, he made all the important decisions without his colleagues"
undeniably,10,,to an undeniable degree or in an undeniable manner,she is undeniably the most gifted student in the class
under,5,below,further down,see under for further discussion
under,5,,down below,get under quickly
under,5,,below the horizon,the sun went under
under,5,,below some quantity or limit,fifty dollars or under
under,5,,in or into a state of subordination or subjugation,we must keep our disappointment under
under,5,,"down to defeat, death, or ruin",their competitors went under
under,5,,into unconsciousness,this will put the patient under
under,5,,through a range downward,children six and under will be admitted free
under the circumstances,23,,because of prevailing conditions,under the circumstances I cannot buy the house
under way,9,,in motion,set in motion
underarm,8,underhand,with the hand swung below shoulder level,throwing a ball underarm
underfoot,9,,under the feet,trampled the beans underfoot
underfoot,9,,in the way and hindering progress,a house with children and pets and toys always underfoot
underground,11,,beneath the surface of the earth,water flowing underground
underground,11,,in or into hiding or secret operation,the organization was driven underground
underhandedly,13,underhand,slyly and secretly,"Mean revenge, committed underhand- John Donne"
underneath,10,,under or below an object or a surface,at a lower place or level
underneath,10,,on the lower or downward side,on the underside of
understandingly,15,,with understanding,she nodded understandingly
undeservedly,12,,in an unmerited manner,"the team chalked up another victory, the last one quite undeservedly, in my opinion"
undesirably,11,unwantedly,in an undesirable manner,he was unwantedly friendly
undiplomatically,16,,without diplomacy,in an undiplomatic manner
undoubtedly,11,doubtless doubtlessly,without doubt,certainly
unduly,6,,to an undue degree,she was unduly pessimistic about her future
unemotionally,13,emotionlessly,without emotion,devoid of emotion
unenthusiastically,18,,without enthusiasm,showing no enthusiasm
unerringly,10,,without making errors,he unerringly fixed things for us
unethically,11,,in an unethical manner,he behaved unethically
unevenly,8,unequally,in an unequal or partial manner,profits were distributed unevenly
uneventfully,12,,in an uneventful manner,the space shuttle landed uneventfully
unexcitingly,12,,in an unexciting manner,this painting was nothing more but an unexcitingly grey canvas with a few red speckles
unexpectedly,12,out of the blue,in a way that was not expected,her brother showed up at the wedding out of the blue
unfairly,8,below the belt,in an unfair manner,they dealt with him unfairly
unfashionably,13,,in an unfashionable manner,she seemed to make a point of being unfashionably dressed
unfavorably,11,unfavourably,showing disapproval,in a disparaging way
unfeelingly,11,,without compassionate feelings,"unfeelingly, she required her maid to work on Christmas Day"
unforgivingly,13,,without forgiveness,in an unforgiving manner
unfortunately,13,unluckily regrettably  alas,by bad luck,unfortunately it rained all day
ungraciously,12,ungracefully gracelessly  woodenly,without grace,rigidly
ungrammatically,15,,in an ungrammatical manner,this child speaks ungrammatically
ungrudgingly,12,,in a generous and ungrudging manner,he ungrudgingly agreed to pay for everybody's dinner when the guests found themselves without cash
unhappily,9,,in an unpleasant way,they were unhappily married
unhelpfully,11,,in an unhelpful manner,he stood by unhelpfully while the house burned down
unhesitatingly,14,,without hesitation,she said yes unhesitatingly
unhurriedly,11,,without haste,she proceeded unhurriedly
unhygienically,14,,in an unhygienic manner,the meat is unhygienically processed on wooden tables
uniformly,9,,in a uniform manner,a uniformly bright surface
unilaterally,12,one-sidedly,in a unilateral manner,by means of one part or party
unimaginatively,15,,without imagination,the stage sets were designed rather unimaginatively
unimpressively,14,,in an unimpressive manner,she scored unimpressively low in the first round of the competition
uninformatively,15,uninstructively,in an uninformative manner,"`I can't tell you when the manager will arrive,' he said rather uninformatively"
unintelligently,15,,in an unintelligent manner,he acted rather unintelligently in this crisis
unintelligibly,14,ununderstandably,in an unintelligible manner,the foreigners spoke unintelligibly
unintentionally,15,accidentally,without intention,in an unintentional manner
uninterruptedly,15,,without interruption,this pleasant state of affairs had continued peacefully and uninterruptedly for many years
uninvitedly,11,,without invitation,the women arrived uninvitedly
uniquely,8,unambiguously,so as to be unique,he could determine uniquely the properties of the compound
universally,11,,everywhere,people universally agree on this
unjustifiably,13,inexcusably,without any excuse,he is unjustifiably harsh on her
unjustly,8,,in an unjust manner,he was unjustly singled out for punishment
unkindly,8,,in an unkind manner or with unkindness,The teacher treats the children unkindly
unlawfully,10,,not conforming to the law,they were unlawfully married
unmanageably,12,,so as to be unmanageable,"`This house is unmanageably large,' she complained"
unmelodiously,13,,in an unmelodious manner,she sings rather unmelodiously
unmistakably,12,,without possibility of mistake,this watercolor is unmistakably a synthesis of nature
unmusically,11,,in an unmusical manner,She sings rather unmusically
unnaturally,11,,in a manner at variance with what is natural or normal,The early Church not unnaturally adopted the position that failure to see the messianic character of his work was really caused by the people's own blindness
unnaturally,11,,in an unnatural way,"his other arm lay across his chest, unnaturally, as if placed there deliberately, for a purpose"
unnecessarily,13,,without any necessity,this marathon would exhaust him unnecessarily
